"Survey.Date","Anchorage","Gulf.Coast","Interior","Matanuska.Susitna","Northern","Southeast","Southwest","Total"
2020-04-04,0,0,2,0,0,2,0,4
2020-04-11,0,0,0,0,0,0,0,0
2020-04-18,6,0,0,0,0,1,0,7
2020-04-25,2,0,0,0,0,0,0,2
2020-05-02,2,1,0,0,0,0,0,3
2020-05-09,2,0,0,0,0,0,0,2
2020-05-16,2,0,1,0,0,0,0,3
2020-05-23,1,0,1,0,1,0,0,3
2020-05-30,2,1,0,0,0,0,0,3
2020-06-06,2,0,0,0,0,0,0,2
2020-06-13,3,2,1,0,1,0,0,7
2020-06-20,5,1,1,0,1,0,0,8
2020-06-27,4,0,0,0,0,0,0,4
2020-07-04,6,0,2,3,0,0,0,11
2020-07-11,15,0,1,2,0,0,0,18
2020-07-18,15,1,3,1,0,1,0,21
2020-07-25,25,0,5,1,2,2,0,35
2020-08-01,23,0,1,0,2,1,0,27
2020-08-08,24,1,2,0,3,1,0,31
2020-08-15,33,0,2,0,1,2,0,38
2020-08-22,29,3,1,1,2,3,0,39
2020-08-29,31,0,1,2,0,2,0,36
2020-09-05,28,0,2,1,1,6,0,38
2020-09-12,24,0,1,2,0,5,0,32
2020-09-19,31,2,2,0,0,4,0,39
2020-09-26,27,1,1,0,2,3,0,34
2020-10-03,23,0,3,0,2,2,1,31
2020-10-10,22,0,6,1,4,5,0,38
2020-10-17,27,1,2,1,4,5,2,42
2020-10-24,32,6,4,4,2,3,1,52
2020-10-31,61,5,0,5,2,4,3,80
2020-11-07,65,3,5,15,2,9,7,106
2020-11-14,79,13,5,14,0,1,5,117
2020-11-21,79,14,8,13,0,1,6,121
2020-11-28,98,14,7,22,2,2,2,147
2020-12-05,92,14,8,25,6,2,3,150
2020-12-12,76,8,8,18,6,1,4,121
2020-12-19,69,8,2,15,3,2,3,102
2020-12-26,40,10,3,8,1,1,3,66
2021-01-02,38,6,7,6,3,1,5,66
2021-01-09,41,6,8,2,6,4,2,69
2021-01-16,35,3,4,4,3,1,4,54
2021-01-23,28,0,1,6,2,3,3,43
2021-01-30,32,1,1,3,0,0,2,39
2021-02-06,33,2,0,1,1,0,0,37
2021-02-13,25,0,1,0,1,1,2,30
2021-02-20,16,2,3,6,1,4,2,34
2021-02-27,16,0,0,7,0,2,2,27
2021-03-06,16,3,4,5,1,0,1,30
2021-03-13,19,1,2,10,0,1,0,33
2021-03-20,21,1,5,8,0,1,0,36
2021-03-27,12,1,1,8,1,0,0,23
2021-04-03,16,2,2,15,1,0,1,37
2021-04-10,21,3,1,13,0,1,1,40
2021-04-17,13,5,5,4,0,2,2,31
2021-04-24,13,2,10,12,0,2,0,39
2021-05-01,21,3,13,14,0,3,0,54
2021-05-08,21,2,9,9,0,0,0,41
2021-05-15,12,2,3,7,0,0,0,24
2021-05-22,8,1,2,3,0,3,0,17
2021-05-29,10,1,2,0,0,0,1,14
2021-06-05,12,1,4,0,1,2,0,20
2021-06-12,10,0,3,1,3,2,0,19
2021-06-19,9,0,2,0,0,1,0,12
2021-06-26,6,0,0,4,0,0,0,10
2021-07-03,14,2,0,1,0,4,0,21
2021-07-10,21,6,2,0,0,7,1,37
2021-07-17,46,5,1,2,0,4,1,59
2021-07-24,63,13,3,9,0,9,1,98
2021-07-31,59,20,5,5,0,12,2,103
2021-08-07,52,20,8,12,0,5,0,97
2021-08-14,69,15,9,15,1,7,0,116
2021-08-21,71,24,7,15,4,9,2,132
2021-08-28,81,31,14,13,3,8,1,151
2021-09-04,96,26,11,24,4,6,2,169
2021-09-11,123,20,14,33,5,7,5,207
2021-09-18,104,23,18,37,3,13,4,202
2021-09-25,112,28,20,41,1,16,5,223
2021-10-02,97,19,27,45,4,11,10,213
2021-10-09,85,26,18,36,2,5,5,177
2021-10-16,107,23,25,42,2,3,7,209
2021-10-23,107,35,20,46,4,10,6,228
2021-10-30,86,28,18,39,1,4,4,180
2021-11-06,64,13,8,30,4,5,5,129
2021-11-13,77,7,15,23,3,6,4,135
2021-11-20,56,6,11,17,1,8,4,103
2021-11-27,40,7,7,18,0,6,2,80
2021-12-04,32,5,6,24,0,5,2,74
2021-12-11,26,4,3,19,2,11,1,66
2021-12-18,30,6,3,16,2,8,1,66
2021-12-25,29,5,2,9,1,4,1,51
2022-01-01,31,3,3,5,0,6,2,50
2022-01-08,56,2,6,12,0,6,0,82
2022-01-15,68,2,3,13,0,11,1,98
2022-01-22,87,10,7,20,3,15,0,142
2022-01-29,96,7,13,20,0,6,4,146
2022-02-05,71,13,11,19,4,0,4,122
2022-02-12,61,6,8,10,6,7,4,102
2022-02-19,48,13,3,13,2,4,4,87
2022-02-26,40,9,5,8,0,2,2,66
2022-03-05,37,7,2,3,4,1,1,55
2022-03-12,28,2,1,2,0,2,0,35
2022-03-19,31,3,1,4,0,4,0,43
2022-03-26,22,6,2,3,1,2,2,38
2022-04-02,19,4,2,2,1,3,0,31
2022-04-09,22,5,3,1,1,1,1,34
2022-04-16,14,2,2,1,0,3,1,23
2022-04-23,11,3,1,0,0,5,1,21
