"Date","Season_Current","Season_20_21","Season_19_20","Season_18_19","Season_17_18"
2021-09-11,0,0,52,11,116
2021-09-18,0,0,36,16,67
2021-09-25,1,0,26,18,61
2021-10-02,3,0,25,11,61
2021-10-09,3,5,16,12,60
2021-10-16,5,3,9,9,49
2021-10-23,5,5,21,14,61
2021-10-30,14,3,15,16,35
2021-11-06,17,6,27,14,55
2021-11-13,0,6,33,13,47
2021-11-20,9,1,64,17,70
2021-11-27,5,4,195,12,107
2021-12-04,9,3,232,24,158
2021-12-11,19,5,308,21,225
2021-12-18,107,7,481,15,177
2021-12-25,165,2,692,15,193
2022-01-01,274,4,783,19,204
2022-01-08,220,5,676,58,207
2022-01-15,189,3,483,75,183
2022-01-22,89,2,443,225,167
2022-01-29,75,1,503,446,213
2022-02-05,39,1,469,666,255
2022-02-12,26,3,325,1142,364
2022-02-19,40,4,326,1071,372
2022-02-26,15,3,381,852,378
2022-03-05,25,0,325,716,314
2022-03-12,13,0,267,703,407
2022-03-19,17,1,249,525,359
2022-03-26,15,0,142,330,352
2022-04-02,23,0,28,141,388
2022-04-09,35,0,6,104,352
2022-04-16,54,0,3,81,324
2022-04-23,95,0,0,43,160
2022-04-30,5,0,2,55,86
2022-05-07,0,0,0,53,66
2022-05-14,0,0,0,22,41
2022-05-21,0,0,0,20,27
2022-05-28,0,0,0,23,20
2022-06-04,0,0,0,48,12
